"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	1525	165428	921.9	886.2
	"Baldwin County, AL"	"01003"	6018	611998	983.3	753.9
	"Barbour County, AL"	"01005"	849	78998	1074.7	890.5
	"Bibb County, AL"	"01007"	714	67715	1054.4	955.1
	"Blount County, AL"	"01009"	1934	173001	1117.9	932.0
	"Bullock County, AL"	"01011"	372	31529	1179.9	1013.5
	"Butler County, AL"	"01013"	824	60407	1364.1	1020.9
	"Calhoun County, AL"	"01015"	4293	345733	1241.7	1047.6
	"Chambers County, AL"	"01017"	1323	101882	1298.6	964.1
	"Cherokee County, AL"	"01019"	1046	77395	1351.5	1000.8
	"Chilton County, AL"	"01021"	1448	131624	1100.1	971.1
	"Choctaw County, AL"	"01023"	526	39504	1331.5	942.1
	"Clarke County, AL"	"01025"	880	73980	1189.5	891.4
	"Clay County, AL"	"01027"	555	40490	1370.7	978.4
	"Cleburne County, AL"	"01029"	604	44996	1342.3	1023.7
	"Coffee County, AL"	"01031"	1526	153046	997.1	848.4
	"Colbert County, AL"	"01033"	2184	162938	1340.4	992.2
	"Conecuh County, AL"	"01035"	507	37613	1347.9	938.5
	"Coosa County, AL"	"01037"	433	32062	1350.5	1021.3
	"Covington County, AL"	"01039"	1594	112914	1411.7	989.0
	"Crenshaw County, AL"	"01041"	569	41687	1364.9	1029.4
	"Cullman County, AL"	"01043"	2949	245496	1201.2	981.0
	"Dale County, AL"	"01045"	1534	147985	1036.6	898.7
	"Dallas County, AL"	"01047"	1625	122433	1327.3	1130.3
	"DeKalb County, AL"	"01049"	2388	212843	1122.0	991.1
	"Elmore County, AL"	"01051"	2341	243831	960.1	919.8
	"Escambia County, AL"	"01053"	1488	113433	1311.8	1088.3
	"Etowah County, AL"	"01055"	4170	308808	1350.4	1070.7
	"Fayette County, AL"	"01057"	707	50090	1411.5	1023.7
	"Franklin County, AL"	"01059"	1151	94710	1215.3	1053.1
	"Geneva County, AL"	"01061"	1072	80057	1339.0	984.5
	"Greene County, AL"	"01063"	326	25397	1283.6	949.5
	"Hale County, AL"	"01065"	544	45108	1206.0	926.6
	"Henry County, AL"	"01067"	644	51511	1250.2	870.8
	"Houston County, AL"	"01069"	3233	312458	1034.7	867.1
	"Jackson County, AL"	"01071"	2173	157016	1383.9	1063.1
	"Jefferson County, AL"	"01073"	21269	1979261	1074.6	927.8
	"Lamar County, AL"	"01075"	592	41882	1413.5	960.5
	"Lauderdale County, AL"	"01077"	3353	277800	1207.0	908.6
	"Lawrence County, AL"	"01079"	1226	99809	1228.3	1038.7
	"Lee County, AL"	"01081"	3214	470035	683.8	840.3
	"Limestone County, AL"	"01083"	2266	275015	824.0	792.5
	"Lowndes County, AL"	"01085"	413	31304	1319.3	1086.5
	"Macon County, AL"	"01087"	734	57772	1270.5	1020.5
	"Madison County, AL"	"01089"	9209	1060390	868.5	802.0
	"Marengo County, AL"	"01091"	780	59671	1307.2	948.3
	"Marion County, AL"	"01093"	1216	90393	1345.2	958.5
	"Marshall County, AL"	"01095"	3367	284170	1184.9	1011.4
	"Mobile County, AL"	"01097"	12883	1243812	1035.8	929.5
	"Monroe County, AL"	"01099"	771	65129	1183.8	920.4
	"Montgomery County, AL"	"01101"	6453	680410	948.4	887.3
	"Morgan County, AL"	"01103"	3882	358001	1084.4	913.5
	"Perry County, AL"	"01105"	383	29099	1316.2	1018.4
	"Pickens County, AL"	"01107"	765	61483	1244.2	958.9
	"Pike County, AL"	"01109"	900	99682	902.9	859.7
	"Randolph County, AL"	"01111"	918	67823	1353.5	984.5
	"Russell County, AL"	"01113"	1783	176312	1011.3	1000.7
	"St. Clair County, AL"	"01115"	2808	261487	1073.9	983.9
	"Shelby County, AL"	"01117"	4177	625139	668.2	665.8
