"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	496	23740	2089.3	2396.2
	"Baldwin County, AL"	"01003"	2022	117579	1719.7	1942.0
	"Barbour County, AL"	"01005"	292	13655	2138.4	2362.8
	"Bibb County, AL"	"01007"	236	10211	2311.2	2531.2
	"Blount County, AL"	"01009"	678	30354	2233.6	2535.7
	"Bullock County, AL"	"01011"	96	4912	1954.4	2056.5
	"Butler County, AL"	"01013"	295	11148	2646.2	2599.5
	"Calhoun County, AL"	"01015"	1485	56744	2617.0	2823.3
	"Chambers County, AL"	"01017"	414	19066	2171.4	2268.1
	"Cherokee County, AL"	"01019"	350	16683	2097.9	2531.4
	"Chilton County, AL"	"01021"	530	20561	2577.7	2838.7
	"Choctaw County, AL"	"01023"	210	8403	2499.1	2659.3
	"Clarke County, AL"	"01025"	307	13685	2243.3	2344.3
	"Clay County, AL"	"01027"	202	8119	2488.0	2648.0
	"Cleburne County, AL"	"01029"	229	8402	2725.5	2942.0
	"Coffee County, AL"	"01031"	544	24755	2197.5	2377.6
	"Colbert County, AL"	"01033"	795	30764	2584.2	2713.7
	"Conecuh County, AL"	"01035"	178	7892	2255.4	2328.0
	"Coosa County, AL"	"01037"	153	6186	2473.3	2831.8
	"Covington County, AL"	"01039"	584	22691	2573.7	2589.3
	"Crenshaw County, AL"	"01041"	215	7612	2824.5	2952.7
	"Cullman County, AL"	"01043"	1021	44059	2317.3	2626.1
	"Dale County, AL"	"01045"	491	23364	2101.5	2293.4
	"Dallas County, AL"	"01047"	522	19936	2618.4	2793.0
	"DeKalb County, AL"	"01049"	913	34180	2671.2	3049.4
	"Elmore County, AL"	"01051"	751	35158	2136.1	2438.0
	"Escambia County, AL"	"01053"	468	19125	2447.1	2684.4
	"Etowah County, AL"	"01055"	1443	54799	2633.3	2847.6
	"Fayette County, AL"	"01057"	242	10080	2400.8	2593.6
	"Franklin County, AL"	"01059"	410	15293	2681.0	2930.0
	"Geneva County, AL"	"01061"	375	15666	2393.7	2566.8
	"Greene County, AL"	"01063"	112	4755	2355.4	2306.6
	"Hale County, AL"	"01065"	173	8071	2143.5	2193.3
	"Henry County, AL"	"01067"	214	10981	1948.8	2145.5
	"Houston County, AL"	"01069"	1086	51455	2110.6	2261.8
	"Jackson County, AL"	"01071"	776	29869	2598.0	2931.8
	"Jefferson County, AL"	"01073"	6214	290381	2139.9	2120.0
	"Lamar County, AL"	"01075"	223	8760	2545.7	2653.9
	"Lauderdale County, AL"	"01077"	1163	51887	2241.4	2356.1
	"Lawrence County, AL"	"01079"	426	17245	2470.3	2903.5
	"Lee County, AL"	"01081"	965	50020	1929.2	2176.0
	"Limestone County, AL"	"01083"	747	39053	1912.8	2202.9
	"Lowndes County, AL"	"01085"	114	5662	2013.4	2258.1
	"Macon County, AL"	"01087"	250	10074	2481.6	2585.7
	"Madison County, AL"	"01089"	2956	149018	1983.7	2100.2
	"Marengo County, AL"	"01091"	286	11458	2496.1	2477.2
	"Marion County, AL"	"01093"	454	18446	2461.2	2612.0
	"Marshall County, AL"	"01095"	1205	47225	2551.6	2797.0
	"Mobile County, AL"	"01097"	4169	185963	2241.8	2403.5
	"Monroe County, AL"	"01099"	239	11853	2016.4	2074.6
	"Montgomery County, AL"	"01101"	1881	93001	2022.6	2084.6
	"Morgan County, AL"	"01103"	1414	58513	2416.6	2626.1
	"Perry County, AL"	"01105"	141	5320	2650.4	2644.6
	"Pickens County, AL"	"01107"	262	10999	2382.0	2483.2
	"Pike County, AL"	"01109"	274	14454	1895.7	2006.5
	"Randolph County, AL"	"01111"	368	13490	2727.9	2922.9
	"Russell County, AL"	"01113"	516	22736	2269.5	2403.5
	"St. Clair County, AL"	"01115"	907	41376	2192.1	2577.8
	"Shelby County, AL"	"01117"	1349	84352	1599.3	1796.2
	"Sumter County, AL"	"01119"	126	6590	1912.0	1832.2
	"Talladega County, AL"	"01121"	938	40069	2341.0	2598.6
	"Tallapoosa County, AL"	"01123"	536	24751	2165.6	2451.3
	"Tuscaloosa County, AL"	"01125"	1780	73722	2414.5	2575.0
	"Walker County, AL"	"01127"	989	36349	2720.8	3069.3
	"Washington County, AL"	"01129"	217	8785	2470.1	2737.7
	"Wilcox County, AL"	"01131"	142	6068	2340.1	2470.9
	"Winston County, AL"	"01133"	357	14750	2420.3	2654.1
	"Aleutians West Census Area, AK"	"02016"	13	1002	1297.4 (Unreliable)	1658.4 (Unreliable)
	"Anchorage Borough, AK"	"02020"	1037	84107	1233.0	1485.7
	"Bethel Census Area, AK"	"02050"	74	3677	2012.5	2702.1
	"Dillingham Census Area, AK"	"02070"	26	1235	2105.3	2464.1
	"Fairbanks North Star Borough, AK"	"02090"	335	25137	1332.7	1723.5
	"Haines Borough, AK"	"02100"	16	1356	1179.9 (Unreliable)	1499.1 (Unreliable)
	"Hoonah-Angoon Census Area, AK"	"02105"	13	1070	1215.0 (Unreliable)	1535.4 (Unreliable)
	"Juneau Borough, AK"	"02110"	157	10857	1446.1	1794.0
	"Kenai Peninsula Borough, AK"	"02122"	348	25885	1344.4	1729.9
	"Ketchikan Gateway Borough, AK"	"02130"	77	5414	1422.2	1716.6
	"Kodiak Island Borough, AK"	"02150"	34	3849	883.3	1160.7
	"Lake and Peninsula Borough, AK"	"02164"	12	424	2830.2 (Unreliable)	4155.9 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	394	30340	1298.6	1750.5
	"Nome Census Area, AK"	"02180"	43	2223	1934.3	2319.3
	"North Slope Borough, AK"	"02185"	30	1419	2114.2	2639.4
	"Northwest Arctic Borough, AK"	"02188"	34	1646	2065.6	2342.4
	"Petersburg Borough/Census Area, AK"	"02195"	24	1291	1859.0	2189.3
	"Prince of Wales-Hyder Census Area, AK"	"02198"	37	2270	1630.0	3151.4
	"Sitka Borough, AK"	"02220"	64	3685	1736.8	1906.6
	"Southeast Fairbanks Census Area, AK"	"02240"	38	2569	1479.2	1961.1
	"Valdez-Cordova Census Area, AK"	"02261"	52	2939	1769.3	2522.9
	"Wade Hampton Census Area, AK"	"02270"	30	1318	2276.2	3286.7
	"Wrangell City and Borough, AK"	"02275"	25	1304	1917.2	2267.2
	"Yukon-Koyukuk Census Area, AK"	"02290"	24	2363	1015.7	1154.7
