"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Autauga County, AL"	"01001"	652	165428	394.1	383.3
	"Baldwin County, AL"	"01003"	2503	611998	409.0	309.4
	"Barbour County, AL"	"01005"	376	78998	476.0	385.1
	"Bibb County, AL"	"01007"	325	67715	480.0	426.6
	"Blount County, AL"	"01009"	872	173001	504.0	414.3
	"Bullock County, AL"	"01011"	125	31529	396.5	335.0
	"Butler County, AL"	"01013"	391	60407	647.3	460.2
	"Calhoun County, AL"	"01015"	2024	345733	585.4	485.2
	"Chambers County, AL"	"01017"	532	101882	522.2	374.3
	"Cherokee County, AL"	"01019"	460	77395	594.4	430.8
	"Chilton County, AL"	"01021"	698	131624	530.3	465.3
	"Choctaw County, AL"	"01023"	261	39504	660.7	439.1
	"Clarke County, AL"	"01025"	392	73980	529.9	387.7
	"Clay County, AL"	"01027"	272	40490	671.8	478.0
	"Cleburne County, AL"	"01029"	310	44996	689.0	515.7
	"Coffee County, AL"	"01031"	684	153046	446.9	378.6
	"Colbert County, AL"	"01033"	1023	162938	627.8	458.0
	"Conecuh County, AL"	"01035"	232	37613	616.8	415.1
	"Coosa County, AL"	"01037"	188	32062	586.4	427.2
	"Covington County, AL"	"01039"	737	112914	652.7	438.1
	"Crenshaw County, AL"	"01041"	256	41687	614.1	451.2
	"Cullman County, AL"	"01043"	1282	245496	522.2	421.3
	"Dale County, AL"	"01045"	657	147985	444.0	386.5
	"Dallas County, AL"	"01047"	707	122433	577.5	479.5
	"DeKalb County, AL"	"01049"	1155	212843	542.7	480.7
	"Elmore County, AL"	"01051"	982	243831	402.7	387.2
	"Escambia County, AL"	"01053"	608	113433	536.0	438.6
	"Etowah County, AL"	"01055"	1917	308808	620.8	484.3
	"Fayette County, AL"	"01057"	302	50090	602.9	426.9
	"Franklin County, AL"	"01059"	543	94710	573.3	491.9
	"Geneva County, AL"	"01061"	463	80057	578.3	416.0
	"Greene County, AL"	"01063"	165	25397	649.7	463.6
	"Hale County, AL"	"01065"	247	45108	547.6	413.0
	"Henry County, AL"	"01067"	259	51511	502.8	339.7
	"Houston County, AL"	"01069"	1387	312458	443.9	366.2
	"Jackson County, AL"	"01071"	1024	157016	652.2	493.3
	"Jefferson County, AL"	"01073"	8103	1979261	409.4	347.4
	"Lamar County, AL"	"01075"	290	41882	692.4	457.8
	"Lauderdale County, AL"	"01077"	1453	277800	523.0	386.5
	"Lawrence County, AL"	"01079"	560	99809	561.1	471.0
	"Lee County, AL"	"01081"	1234	470035	262.5	332.5
	"Limestone County, AL"	"01083"	1037	275015	377.1	365.3
	"Lowndes County, AL"	"01085"	164	31304	523.9	423.0
	"Macon County, AL"	"01087"	336	57772	581.6	448.8
	"Madison County, AL"	"01089"	3875	1060390	365.4	335.6
	"Marengo County, AL"	"01091"	374	59671	626.8	437.3
	"Marion County, AL"	"01093"	605	90393	669.3	469.6
	"Marshall County, AL"	"01095"	1569	284170	552.1	464.4
	"Mobile County, AL"	"01097"	5486	1243812	441.1	393.2
	"Monroe County, AL"	"01099"	313	65129	480.6	364.7
	"Montgomery County, AL"	"01101"	2528	680410	371.5	346.2
	"Morgan County, AL"	"01103"	1811	358001	505.9	420.1
	"Perry County, AL"	"01105"	185	29099	635.8	471.9
	"Pickens County, AL"	"01107"	353	61483	574.1	428.2
	"Pike County, AL"	"01109"	360	99682	361.1	339.7
	"Randolph County, AL"	"01111"	489	67823	721.0	518.3
	"Russell County, AL"	"01113"	691	176312	391.9	389.8
	"St. Clair County, AL"	"01115"	1201	261487	459.3	416.5
	"Shelby County, AL"	"01117"	1695	625139	271.1	272.0
	"Sumter County, AL"	"01119"	177	39567	447.3	354.3
	"Talladega County, AL"	"01121"	1271	242068	525.1	438.6
	"Tallapoosa County, AL"	"01123"	661	122509	539.6	389.6
	"Tuscaloosa County, AL"	"01125"	2343	613094	382.2	412.3
	"Walker County, AL"	"01127"	1421	195822	725.7	576.0
	"Washington County, AL"	"01129"	276	50548	546.0	437.2
	"Wilcox County, AL"	"01131"	203	33044	614.3	474.0
	"Winston County, AL"	"01133"	447	71742	623.1	433.0
	"Aleutians West Census Area, AK"	"02016"	19	17166	110.7 (Unreliable)	234.6 (Unreliable)
	"Anchorage Borough, AK"	"02020"	1545	896933	172.3	237.1
	"Bethel Census Area, AK"	"02050"	107	53867	198.6	406.1
	"Denali Borough, AK"	"02068"	12	5773	207.9 (Unreliable)	308.0 (Unreliable)
	"Dillingham Census Area, AK"	"02070"	39	14942	261.0	388.1
	"Fairbanks North Star Borough, AK"	"02090"	498	299539	166.3	268.5
	"Haines Borough, AK"	"02100"	20	7517	266.1	217.7
	"Hoonah-Angoon Census Area, AK"	"02105"	18	6277	286.8 (Unreliable)	241.5 (Unreliable)
	"Juneau Borough, AK"	"02110"	211	97582	216.2	269.0
	"Kenai Peninsula Borough, AK"	"02122"	467	174176	268.1	267.4
	"Ketchikan Gateway Borough, AK"	"02130"	111	41193	269.5	276.3
	"Kodiak Island Borough, AK"	"02150"	52	41474	125.4	179.4
	"Lake and Peninsula Borough, AK"	"02164"	18	4757	378.4 (Unreliable)	657.5 (Unreliable)
	"Matanuska-Susitna Borough, AK"	"02170"	560	303681	184.4	265.9
	"Nome Census Area, AK"	"02180"	64	29626	216.0	364.1
