OID,GISJOIN,AREA,YEAR,AREA11,AREA12,AREA21,AREA22,AREA23,AREA24,AREA31,AREA41,AREA42,AREA43,AREA52,AREA71,AREA81,AREA82,AREA90,AREA95,PROP11,PROP12,PROP21,PROP22,PROP23,PROP24,PROP31,PROP41,PROP42,PROP43,PROP52,PROP71,PROP81,PROP82,PROP90,PROP95
-1,G0100010,1565343900.000000000000000,2011,23803200.000000000000000,,63887400.000000000000000,21034800.000000000000000,6669900.000000000000000,1782900.000000000000000,4179600.000000000000000,272142000.000000000000000,292510800.000000000000000,201867300.000000000000000,277243200.000000000000000,26577900.000000000000000,189387900.000000000000000,96213600.000000000000000,81103500.000000000000000,6939900.000000000000000,0.015206370945068,,0.040813651236639,0.013437813888692,0.004260980606243,0.001138982941704,0.002670084190445,0.173854448214223,0.186866796491174,0.128960351779567,0.177113284818755,0.016978952676150,0.120988046141171,0.061464832104945,0.051811937300168,0.004433466665057
-1,G0100030,4224504600.000000000000000,2011,95202900.000000000000000,,212605200.000000000000000,82449000.000000000000000,32195700.000000000000000,9345600.000000000000000,23232600.000000000000000,21134700.000000000000000,1034767800.000000000000000,96331500.000000000000000,555866100.000000000000000,224253000.000000000000000,250753500.000000000000000,416160900.000000000000000,1077154200.000000000000000,93051900.000000000000000,0.022535873200375,,0.050326658420493,0.019516844649666,0.007621177640569,0.002212235725817,0.005499485075718,0.005002882468160,0.244944176413017,0.022803028785908,0.131581369327897,0.053083857453960,0.059356900688426,0.098511172173892,0.254977636904455,0.022026701071648
-1,G0100050,2342655000.000000000000000,2011,58761900.000000000000000,,80228700.000000000000000,17519400.000000000000000,4891500.000000000000000,1511100.000000000000000,3250800.000000000000000,478298700.000000000000000,642030300.000000000000000,199850400.000000000000000,391694400.000000000000000,56236500.000000000000000,159919200.000000000000000,127321200.000000000000000,114519600.000000000000000,6621300.000000000000000,0.025083462993911,,0.034246912157360,0.007478437926199,0.002088015520851,0.000645037361455,0.001387656313029,0.204169499990396,0.274060969284850,0.085309360533241,0.167201060335389,0.024005455348739,0.068264084980503,0.054349103901343,0.048884534854684,0.002826408498050
-1,G0100070,1621767600.000000000000000,2011,11763900.000000000000000,,56650500.000000000000000,6796800.000000000000000,2384100.000000000000000,540000.000000000000000,4823100.000000000000000,439728300.000000000000000,472888800.000000000000000,213598800.000000000000000,189797400.000000000000000,60584400.000000000000000,84863700.000000000000000,9153000.000000000000000,65120400.000000000000000,3074400.000000000000000,0.007253752017243,,0.034931330481630,0.004190982727735,0.001470062664959,0.000332970026038,0.002973977282565,0.271141376853256,0.291588511202222,0.131707403699519,0.117031194851839,0.037357017121319,0.052327904442042,0.005643841941348,0.040153965340040,0.001895709348244
-1,G0100090,1685142000.000000000000000,2011,16839900.000000000000000,,79117200.000000000000000,21838500.000000000000000,5144400.000000000000000,1361700.000000000000000,7760700.000000000000000,558294300.000000000000000,172164600.000000000000000,102942900.000000000000000,100762200.000000000000000,76896900.000000000000000,453194100.000000000000000,76410000.000000000000000,11636100.000000000000000,778500.000000000000000,0.009993163780856,,0.046949871286811,0.012959441993612,0.003052799111292,0.000808062465952,0.004605368568346,0.331304008801632,0.102166226941112,0.061088561082686,0.059794486161997,0.045632296862816,0.268935258868392,0.045343359788077,0.006905115414606,0.000461978871810
-1,G0100110,1619127000.000000000000000,2011,18891900.000000000000000,,52677900.000000000000000,7470000.000000000000000,1199700.000000000000000,315900.000000000000000,1365300.000000000000000,288536400.000000000000000,409053600.000000000000000,195075900.000000000000000,240337800.000000000000000,28521900.000000000000000,175209300.000000000000000,60178500.000000000000000,127452600.000000000000000,12840300.000000000000000,0.011667954397648,,0.032534754840108,0.004613597327449,0.000740954847890,0.000195105139992,0.000843232186234,0.178204921541053,0.252638366230691,0.120482148713473,0.148436657532115,0.017615603964359,0.108212203242859,0.037167251240947,0.078716864087870,0.007930384707314
-1,G0100130,2014716600.000000000000000,2011,8564400.000000000000000,,77743800.000000000000000,11047500.000000000000000,3050100.000000000000000,836100.000000000000000,819900.000000000000000,502546500.000000000000000,674855100.000000000000000,131890500.000000000000000,221232600.000000000000000,53367300.000000000000000,144952200.000000000000000,31922100.000000000000000,148374000.000000000000000,3514500.000000000000000,0.004250920452038,,0.038587958226978,0.005483401486839,0.001513910194615,0.000414996332487,0.000406955499349,0.249437811749801,0.334962793278221,0.065463549563249,0.109808297603742,0.026488737919765,0.071946694636854,0.015844461697491,0.073645097280680,0.001744414077891
-1,G0100150,1585786500.000000000000000,2011,13318200.000000000000000,,153453600.000000000000000,58430700.000000000000000,19194300.000000000000000,7151400.000000000000000,6139800.000000000000000,559063800.000000000000000,262250100.000000000000000,108759600.000000000000000,54063000.000000000000000,76443300.000000000000000,212520600.000000000000000,43440300.000000000000000,11159100.000000000000000,398700.000000000000000,0.008398482393437,,0.096768133667426,0.036846511179153,0.012103962292528,0.004509686518330,0.003871769623464,0.352546701589401,0.165375414660170,0.068584011782166,0.034092231205146,0.048205291191469,0.134015896843617,0.027393536267335,0.007036949803772,0.000251420982585
-1,G0100170,1562047200.000000000000000,2011,19816200.000000000000000,,66729600.000000000000000,21348000.000000000000000,3762000.000000000000000,1385100.000000000000000,3488400.000000000000000,454914900.000000000000000,442696500.000000000000000,15635700.000000000000000,158413500.000000000000000,118887300.000000000000000,204721200.000000000000000,423000.000000000000000,47153700.000000000000000,2672100.000000000000000,0.012686044314154,,0.042719323718259,0.013666680494674,0.002408377928657,0.000886720964642,0.002233223170209,0.291229932104484,0.283407889339067,0.010009748745108,0.101414028974285,0.076109928048269,0.131059548008537,0.000270798475232,0.030187115984715,0.001710639729709
-1,G0100190,1553922000.000000000000000,2011,112453200.000000000000000,,65784600.000000000000000,20204100.000000000000000,3540600.000000000000000,1206000.000000000000000,5672700.000000000000000,359775900.000000000000000,277101900.000000000000000,163267200.000000000000000,89449200.000000000000000,66609000.000000000000000,220533300.000000000000000,142568100.000000000000000,24118200.000000000000000,1638000.000000000000000,0.072367338901180,,0.042334557332994,0.013002003961589,0.002278492742879,0.000776100730925,0.003650569333596,0.231527644244692,0.178324201600853,0.105067821937008,0.057563507048616,0.042865085892342,0.141920443883284,0.091747269167951,0.015520856259194,0.001054106962898
