State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1,3,10,88101,1,30.497478,-87.880258,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,114,93,Y,113,121,0,8,0,0,Certified,0,8.631579,3.756441,22.4,5/12/2015 0:00,22.3,6/23/2015 0:00,18,2/11/2015 0:00,17.6,6/20/2015 0:00,,,,,22.3,18,15.9,13.7,10.6,7.8,5.1,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",11/8/2021
1,27,1,88101,1,33.284928,-85.803608,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,112,93,Y,112,121,0,10,0,0,Certified,0,8.254464,4.594668,30.9,1/30/2015 0:00,27.7,6/23/2015 0:00,25.1,12/8/2015 0:00,20.5,3/19/2015 0:00,,,,,27.7,25.1,14.3,12,9.9,7.7,3.4,ASHLAND,ASHLAND AIRPORT,Alabama,Clay,Ashland,,11/8/2021
1,33,1002,88101,1,34.762619,-87.638097,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,120,99,Y,120,121,0,1,0,0,Certified,0,8.731667,3.642351,22.5,10/24/2015 0:00,18.8,6/23/2015 0:00,16.2,7/11/2015 0:00,15.7,8/4/2015 0:00,,,,,18.8,16.2,15.2,13.7,11.3,8.6,4.5,MUSCLE SHOALS,WILSON DAM RD AND 2ND ST.,Alabama,Colbert,Muscle Shoals,"Florence-Muscle Shoals, AL",11/8/2021
1,49,1003,88101,1,34.288567,-85.969858,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,112,93,Y,112,121,0,9,0,0,Certified,0,9.085714,3.83807,19.1,5/9/2015 0:00,19,6/23/2015 0:00,18.5,7/2/2015 0:00,18.5,7/11/2015 0:00,,,,,19,18.5,17.5,14.1,11.3,8.5,4.6,CROSSVILLE,"13112 HWY.68 , CROSSVILLE AL. 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",11/8/2021
1,55,10,88101,1,33.991494,-85.992647,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,112,93,Y,112,121,0,9,0,0,Certified,0,9.109821,3.634766,21.1,5/9/2015 0:00,18.7,6/23/2015 0:00,18.2,7/11/2015 0:00,15.7,2/23/2015 0:00,,,,,18.7,18.2,14.8,13.3,11.7,9,4.7,GADSDEN C. COLLEGE,"1001 WALLACE DRIVE, GADSDEN, AL 35902",Alabama,Etowah,Gadsden,"Gadsden, AL",1/6/2022
1,69,3,88101,1,31.224783,-85.390789,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2015,Micrograms/cubic meter (LC),No Events,121,100,Y,121,121,0,0,0,0,Certified,0,7.310744,3.158528,17.6,2/14/2015 0:00,17.2,3/19/2015 0:00,14.9,5/9/2015 0:00,14.7,7/29/2015 0:00,,,,,17.2,14.9,13.6,11.5,8.6,6.9,3.6,DOTHAN (CIVIC CENTER),126 NORTH ST. ANDREWS STREET (CIVIC CENTER),Alabama,Houston,Dothan,"Dothan, AL",11/8/2021
1,73,23,88101,1,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,121,100,Y,121,121,0,1,0,0,Certified,0,10.757025,4.719231,26,6/23/2015 0:00,22.8,5/9/2015 0:00,22.5,7/11/2015 0:00,21.8,3/19/2015 0:00,,,,,22.8,22.5,19.5,17.5,13.1,10.4,5,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",11/8/2021
1,73,23,88101,2,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,59,97,Y,58,60,0,2,0,0,Certified,0,11.772881,5.394756,26.4,6/23/2015 0:00,22.5,7/11/2015 0:00,21.9,3/19/2015 0:00,20,7/17/2015 0:00,,,,,26.4,22.5,21.9,19.6,15.1,11.2,4.8,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",6/14/2022
1,73,1005,88101,1,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,119,98,Y,119,121,0,3,0,0,Certified,0,9.647899,3.89271,25.2,6/23/2015 0:00,20.4,3/19/2015 0:00,18.5,7/11/2015 0:00,17.9,2/23/2015 0:00,,,,,20.4,18.5,17.2,14.5,11.6,9.4,5.2,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/8/2021
1,73,1005,88101,2,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2015,Micrograms/cubic meter (LC),No Events,60,100,Y,60,60,0,0,0,0,Certified,0,9.835,4.393363,24.9,6/23/2015 0:00,20.4,3/19/2015 0:00,18.2,7/11/2015 0:00,18.1,2/23/2015 0:00,,,,,24.9,20.4,18.2,16.4,11.7,9.8,4.4,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/8/2021
