State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
1,3,10,88101,1,30.497478,-87.880258,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,121,99,Y,121,122,0,1,0,0,Certified,0,7.226446,2.656494,20.1,11/14/2016 0:00,14.4,12/23/2016 0:00,13.8,6/17/2016 0:00,12.8,7/8/2016 0:00,,,,,14.4,13.8,11.5,10.2,8.6,6.9,4.4,"FAIRHOPE, Alabama","FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",Alabama,Baldwin,Fairhope,"Daphne-Fairhope-Foley, AL",11/8/2021
1,27,1,88101,1,33.284928,-85.803608,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,8,0,0,Certified,0,7.363793,2.709673,14.3,9/9/2016 0:00,13.7,11/14/2016 0:00,13.1,6/11/2016 0:00,12.1,5/24/2016 0:00,,,,,13.7,13.1,12.1,10.9,9.3,7.3,3.7,ASHLAND,ASHLAND AIRPORT,Alabama,Clay,Ashland,,11/8/2021
1,33,1002,88101,1,34.762619,-87.638097,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,0,0,Certified,0,7.492241,3.266541,26.3,11/14/2016 0:00,16,3/22/2016 0:00,15.8,6/11/2016 0:00,14.5,6/17/2016 0:00,,,,,16,15.8,13.4,11.6,9,7.2,4.1,MUSCLE SHOALS,WILSON DAM RD AND 2ND ST.,Alabama,Colbert,Muscle Shoals,"Florence-Muscle Shoals, AL",11/8/2021
1,49,1003,88101,1,34.288567,-85.969858,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,116,95,Y,116,122,0,6,1,1,Certified,0,7.69569,4.269617,42.7,11/14/2016 0:00,13.5,6/11/2016 0:00,13.4,12/20/2016 0:00,13.2,12/26/2016 0:00,,,,,13.5,13.4,12.6,11.5,9.4,7.3,3.8,CROSSVILLE,"13112 HWY.68 , CROSSVILLE AL. 35962",Alabama,DeKalb,Crossville,"Fort Payne, AL",11/8/2021
1,55,10,88101,1,33.991494,-85.992647,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,113,93,Y,113,122,0,9,0,0,Certified,0,8.195575,3.285938,25.4,11/14/2016 0:00,14.7,6/11/2016 0:00,14.2,12/26/2016 0:00,14.1,9/9/2016 0:00,,,,,14.7,14.2,13,11.9,10.4,7.6,4.2,GADSDEN C. COLLEGE,"1001 WALLACE DRIVE, GADSDEN, AL 35902",Alabama,Etowah,Gadsden,"Gadsden, AL",1/6/2022
1,69,3,88101,1,31.224783,-85.390789,NAD83,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2016,Micrograms/cubic meter (LC),No Events,117,96,Y,117,122,0,5,0,0,Certified,0,7.061538,2.566355,15,12/23/2016 0:00,13.1,11/14/2016 0:00,13,3/16/2016 0:00,12.1,5/24/2016 0:00,,,,,13.1,13,11.8,10.5,8.8,6.7,3.7,DOTHAN (CIVIC CENTER),126 NORTH ST. ANDREWS STREET (CIVIC CENTER),Alabama,Houston,Dothan,"Dothan, AL",11/8/2021
1,73,23,88101,1,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,119,122,0,4,0,0,Certified,0,9.949167,4.445184,25,11/14/2016 0:00,22.2,11/11/2016 0:00,21.6,5/24/2016 0:00,20.2,6/11/2016 0:00,,,,,22.2,21.6,19.6,16,12.5,9.4,5,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",11/8/2021
1,73,23,88101,2,33.553056,-86.815,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,62,100,Y,61,61,0,0,0,0,Certified,0,10.435484,4.323519,25.2,11/14/2016 0:00,20.8,5/24/2016 0:00,20.3,6/11/2016 0:00,20,4/18/2016 0:00,,,,,25.2,20.8,20,15,12.7,10.4,5.2,North Birmingham,"NO. B'HAM,SOU R.R., 3009 28TH ST. NO.",Alabama,Jefferson,Birmingham,"Birmingham-Hoover, AL",6/14/2022
1,73,1005,88101,1,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,120,98,Y,120,122,0,4,0,0,Certified,0,8.469167,3.017534,15.3,6/2/2016 0:00,14.8,6/11/2016 0:00,14.4,2/12/2016 0:00,14.2,6/26/2016 0:00,,,,,14.8,14.4,13.7,12.9,10.6,8.4,4.9,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/8/2021
1,73,1005,88101,2,33.331111,-87.003611,WGS84,PM2.5 - Local Conditions,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,60,97,Y,59,61,0,4,0,0,Certified,0,8.92,3.045686,15,6/11/2016 0:00,14.3,2/12/2016 0:00,13.6,5/24/2016 0:00,13.6,11/14/2016 0:00,,,,,15,14.3,13.6,12.9,11.4,9.1,5,McAdory, ROUTE 8 MCADORY,Alabama,Jefferson,,"Birmingham-Hoover, AL",11/8/2021
